genre,avg_rating
Travel,2.727272727272727
Mystery,3.0
Historical Fiction,4.166666666666667
Sequential Art,3.533333333333333
Classics,2.473684210526316
Philosophy,2.3636363636363638
Romance,2.4
Womens Fiction,3.1176470588235294
Fiction,4.2
Childrens,2.5555555555555554
Religion,3.142857142857143
Nonfiction,3.0
Music,3.1538461538461537
Default,3.5
Science Fiction,2.25
Sports And Games,3.0
Add A Comment,2.4285714285714284
Fantasy,2.5
New Adult,3.1666666666666665
Young Adult,3.5
Science,2.9285714285714284
Poetry,3.526315789473684
Paranormal,1.0
Art,3.625
Psychology,1.7142857142857142
Autobiography,3.0
Parenting,2.0
Adult Fiction,5.0
Humor,3.4
Horror,2.7058823529411766
History,2.9444444444444446
Food And Drink,3.3
Christian Fiction,4.166666666666667
Business,2.9166666666666665
Biography,2.2
Thriller,2.727272727272727
Contemporary,2.3333333333333335
Spirituality,3.3333333333333335
Academic,2.0
Self Help,2.6
Historical,3.0
Christian,2.6666666666666665
Suspense,3.0
Short Stories,1.0
Novels,5.0
Health,3.75
Politics,2.3333333333333335
Cultural,1.0
Erotica,5.0
Crime,1.0
