genre,num_books
travel_2,11
mystery_3,32
historical-fiction_4,26
sequential-art_5,75
classics_6,19
philosophy_7,11
romance_8,35
womens-fiction_9,17
fiction_10,65
childrens_11,29
religion_12,7
nonfiction_13,110
music_14,13
default_15,152
science-fiction_16,16
sports-and-games_17,5
add-a-comment_18,67
fantasy_19,48
new-adult_20,6
young-adult_21,54
science_22,14
poetry_23,19
paranormal_24,1
art_25,8
psychology_26,7
autobiography_27,9
parenting_28,1
adult-fiction_29,1
humor_30,10
horror_31,17
history_32,18
food-and-drink_33,30
christian-fiction_34,6
business_35,12
biography_36,5
thriller_37,11
contemporary_38,3
spirituality_39,6
academic_40,1
self-help_41,5
historical_42,2
christian_43,3
suspense_44,1
short-stories_45,1
novels_46,1
health_47,4
politics_48,3
cultural_49,1
erotica_50,1
crime_51,1
