price,rating
51.77,3
53.74,1
50.1,1
47.82,4
54.23,5
22.65,1
33.34,4
17.93,3
22.6,4
52.15,1
13.99,2
20.66,4
17.46,5
52.29,5
35.02,5
57.25,3
23.88,1
37.59,1
51.33,2
45.17,2
12.84,1
37.32,2
30.52,3
25.27,5
34.53,5
54.64,3
22.5,3
53.13,3
40.3,5
44.18,4
17.66,5
31.05,3
23.82,5
36.89,1
15.94,5
33.29,3
18.02,2
19.63,1
52.22,4
33.63,2
57.31,3
26.41,2
47.61,5
23.11,5
45.07,2
31.77,1
50.27,5
14.27,4
44.18,4
18.78,3
25.52,1
16.28,1
31.12,3
19.49,4
17.27,5
19.09,1
56.13,1
56.41,1
56.5,4
45.22,3
38.16,4
54.11,3
42.96,4
23.89,4
16.77,3
20.59,5
37.13,1
56.06,1
58.11,4
49.05,3
40.76,3
19.73,1
32.24,5
41.83,4
39.58,2
39.25,2
25.02,3
51.04,2
19.83,2
50.4,3
13.61,5
13.34,5
18.97,1
36.28,2
10.16,3
15.44,4
48.41,1
46.35,1
14.07,3
14.86,2
33.37,2
56.4,2
14.02,4
46.91,2
45.61,3
19.92,2
40.11,1
53.9,2
35.67,5
22.0,4
57.36,5
29.17,2
54.63,3
46.03,1
33.97,1
22.11,2
29.69,3
15.97,4
21.96,1
54.35,2
37.97,2
51.99,4
43.29,3
36.72,4
17.08,4
29.14,5
28.81,3
49.46,2
37.92,2
28.09,2
30.81,1
42.95,1
56.76,5
16.64,1
55.53,5
28.13,4
52.37,1
54.0,5
21.87,4
43.3,4
21.04,2
41.6,3
35.07,3
59.64,1
52.72,1
58.08,4
24.12,1
42.15,4
12.61,5
17.44,4
33.14,1
27.37,4
51.36,5
36.0,2
10.65,1
43.54,2
38.21,2
37.34,5
44.1,4
43.29,3
55.85,1
37.6,2
10.97,1
41.82,4
36.95,1
44.28,1
55.02,2
17.24,1
23.15,2
41.25,1
32.0,3
38.49,5
33.34,5
10.93,2
27.55,3
55.99,2
16.24,4
26.12,2
12.23,2
23.99,2
29.06,3
20.27,1
43.55,5
36.94,1
20.47,5
41.06,1
14.19,4
38.28,1
41.05,1
30.25,5
28.26,5
10.76,1
16.85,2
13.47,3
48.56,5
19.15,2
57.36,4
42.98,1
22.16,2
49.43,4
29.99,5
21.36,1
29.0,1
53.53,5
41.62,4
54.59,4
34.95,4
37.72,5
35.61,3
42.16,3
19.19,5
19.43,3
49.46,4
37.8,2
30.8,3
27.43,2
11.11,2
36.5,2
15.38,5
15.48,2
46.82,4
18.46,3
36.58,1
50.54,5
12.51,5
24.7,3
43.61,5
37.34,4
14.36,2
52.65,4
38.2,4
19.6,2
53.9,1
12.96,5
37.1,4
46.31,2
45.95,2
22.08,2
25.38,2
27.12,2
43.04,2
56.8,4
25.91,5
32.61,3
27.88,5
52.67,4
46.02,5
44.48,5
37.4,5
54.04,1
16.88,3
28.08,4
10.4,1
44.07,1
23.4,1
17.43,3
54.21,2
40.67,2
52.26,2
28.77,3
13.82,2
25.85,3
48.78,1
35.35,5
44.73,4
15.77,1
39.24,1
13.92,1
10.69,1
45.21,3
45.58,1
11.89,5
26.41,3
39.5,5
44.74,4
52.79,5
35.43,4
55.84,4
48.87,3
46.78,4
47.82,3
25.48,2
23.57,3
50.89,5
10.56,3
52.15,3
18.28,2
11.83,5
21.95,2
38.39,2
41.56,1
24.48,3
40.36,1
28.9,1
37.61,2
38.85,5
53.95,3
49.83,3
51.51,2
18.03,1
29.14,5
46.91,4
26.79,5
16.28,5
19.55,1
29.65,1
25.98,4
10.6,4
14.75,5
47.02,3
28.82,1
58.79,3
10.23,5
30.03,5
45.84,3
49.05,3
15.06,4
46.47,3
27.09,3
57.62,5
14.39,4
51.75,5
54.07,2
55.35,1
40.12,2
37.51,5
11.21,5
36.58,1
47.72,2
25.01,3
22.13,4
44.14,1
56.02,4
11.23,4
43.28,1
47.27,1
20.29,4
50.83,3
31.85,3
46.23,2
37.8,4
49.32,5
32.01,2
28.01,1
50.62,5
17.03,3
48.8,3
58.14,4
34.2,2
51.48,3
29.87,5
10.9,2
56.37,5
48.35,5
16.73,2
56.48,2
40.79,2
39.72,1
14.58,3
55.51,1
21.8,3
13.33,3
38.73,1
37.86,4
11.53,2
27.06,1
13.86,3
37.55,1
32.3,5
46.29,5
26.2,1
33.26,2
59.15,4
39.43,1
14.44,5
56.54,2
59.9,3
11.88,3
48.05,2
21.21,3
49.67,4
43.14,1
36.97,5
26.8,3
15.71,4
54.65,4
54.36,4
35.28,3
20.55,2
58.32,5
11.84,1
41.46,4
20.1,5
56.86,1
56.51,5
40.83,4
48.64,1
59.48,3
39.01,4
38.77,1
48.39,2
27.26,2
11.68,4
59.45,1
21.0,3
53.98,3
48.74,1
21.15,2
13.71,3
47.67,3
13.34,2
16.89,5
27.18,1
17.28,2
45.14,1
40.85,1
20.46,4
56.27,3
48.49,4
51.34,4
16.34,3
20.5,3
21.59,5
21.36,4
20.88,5
19.53,3
14.75,5
48.48,3
24.57,2
49.71,5
48.27,5
58.05,4
58.87,4
11.82,2
28.03,1
44.05,5
12.34,4
16.68,2
55.91,1
24.57,3
52.98,5
54.4,1
54.81,5
25.08,1
10.41,4
47.44,2
20.91,1
33.95,4
43.68,3
33.23,1
35.92,2
48.63,4
56.63,3
50.49,3
35.79,2
34.06,3
17.76,1
39.36,2
36.94,2
43.62,5
43.02,3
28.45,4
41.39,2
51.15,1
35.88,1
36.91,1
28.93,1
38.89,5
58.33,3
39.67,5
14.1,5
21.82,3
54.21,1
31.19,4
53.64,5
36.39,5
58.54,2
29.48,3
25.06,2
12.55,3
29.04,5
40.72,2
45.05,5
47.13,1
20.22,4
56.48,1
44.21,1
21.96,4
40.45,2
10.29,4
52.86,2
55.65,5
43.64,1
28.41,1
37.51,4
11.45,3
19.22,2
56.91,4
55.06,4
13.2,3
53.63,2
44.48,5
12.08,3
22.14,2
25.37,5
46.33,2
37.33,3
25.55,1
34.72,1
35.96,4
41.14,4
10.01,4
36.05,4
49.03,3
16.24,1
39.55,1
35.67,3
16.62,3
42.78,4
52.3,5
32.34,2
33.17,4
20.12,5
20.9,2
20.9,3
40.2,4
52.87,3
51.74,1
34.41,2
32.38,1
50.35,4
11.38,5
43.58,3
49.67,3
28.77,2
13.22,4
51.17,5
39.61,5
57.43,4
46.01,4
28.25,2
37.05,5
19.57,1
45.13,3
46.64,2
12.16,5
20.89,4
17.97,5
52.6,2
25.77,1
48.19,3
29.93,5
44.34,2
52.4,5
44.81,4
57.84,5
39.67,2
55.02,3
24.8,4
59.45,4
31.58,2
43.27,4
37.34,1
17.8,5
30.54,1
18.77,1
46.85,3
15.79,1
10.27,2
15.42,5
59.92,5
50.96,2
30.6,3
19.27,4
46.58,1
48.51,3
19.02,1
38.38,2
49.98,4
46.49,5
18.32,2
42.14,3
56.59,4
20.96,4
40.32,4
36.39,3
58.55,4
39.61,3
21.3,3
56.88,4
32.97,4
47.31,4
48.67,2
41.73,4
53.68,4
14.64,1
38.4,1
15.08,4
30.57,2
57.74,4
11.05,5
28.58,1
42.91,5
24.73,3
55.91,4
13.76,3
45.56,3
47.22,1
56.0,5
44.58,2
34.5,1
11.33,5
38.77,4
11.83,2
45.51,3
41.81,1
25.15,4
34.22,5
16.23,5
11.48,3
23.37,3
16.28,2
31.63,4
24.91,5
22.54,1
23.63,4
13.12,2
59.98,3
31.49,4
15.52,5
48.13,5
38.13,5
36.55,2
23.32,1
16.33,1
32.42,1
16.96,1
22.37,1
42.27,1
38.7,2
35.63,5
58.0,5
52.41,1
32.35,3
20.75,1
17.49,5
34.13,5
58.81,5
10.0,5
51.22,2
58.59,4
31.3,1
46.42,2
17.21,4
10.79,3
52.35,4
27.88,3
50.26,2
59.99,3
28.32,5
38.71,3
29.85,5
14.82,2
16.81,4
28.23,2
52.11,2
27.88,2
59.71,3
46.08,5
13.73,5
48.39,5
49.45,5
19.67,5
12.36,3
20.02,5
12.75,4
47.51,4
20.44,4
34.79,2
28.07,4
25.01,3
13.9,3
24.17,4
31.63,4
48.75,5
14.74,1
32.49,3
27.8,1
26.77,1
50.44,4
34.93,2
